data1,data2
0x04,0xFFEC2B
0x04,0xFFEB28
0x03,0xFFEA59
0x02,0xFFEAAB
0x02,0xFFEB03
0x01,0xFFEC9B
0x00,0xFFEE23
0x00,0xFFF0C7
0xFF,0xFFF362
0xFF,0xFFF6E5
0xFE,0xFFFAD7
0xFE,0xFFFED5
0xFE,0x000344
0xFD,0x00080B
0xFD,0x000C8F
0xFE,0x0011B4
0xFE,0x00170E
0xFE,0x001BED
0xFF,0x0020C7
0xFF,0x002580
0x00,0x002AA9
0x00,0x002F3C
0x01,0x0033DF
0x01,0x003811
0x02,0x003B6C
0x02,0x003F9E
0x02,0x004229
0x03,0x0044DA
0x03,0x0046EE
0x03,0x00494A
0x03,0x004A73
0x03,0x004C03
0x02,0x004D24
0x02,0x004DA4
0x02,0x004E8B
0x01,0x004EC0
0x01,0x004F3A
0x00,0x004F68
0x00,0x004F62
0xFF,0x005007
0xFF,0x004FD5
0xFF,0x005043
0xFE,0x0050DE
0xFE,0x0050FA
0xFE,0x0051E7
0xFD,0x005277
0xFD,0x005378
0xFD,0x00544B
0xFD,0x005540
0xFD,0x00567F
0xFD,0x00574A
0xFE,0x005823
0xFE,0x005962
0xFE,0x0059D5
0xFE,0x005AE6
0xFF,0x005B54
0xFF,0x005C3F
0xFF,0x005C89
0x00,0x005C9B
0x00,0x005CE2
0x00,0x005D08
0x01,0x005CD6
0x01,0x005D70
0x01,0x005D68
0x01,0x005D58
0x00,0x005DD7
0x00,0x005DE9
0x00,0x005E61
0xFF,0x005E93
0xFF,0x005F62
0xFE,0x005F88
0xFE,0x006019
0xFD,0x00608B
0xFC,0x006108
0xFC,0x006150
0xFB,0x006124
0xFB,0x006138
0xFA,0x00609B
0xFA,0x005FC1
0xFA,0x005E69
0xFA,0x005CD4
0xFA,0x005AE0
0xFA,0x0057C9
0xFA,0x0054A1
0xFA,0x005035
0xFA,0x004C63
0xFB,0x004714
0xFB,0x0041C5
0xFC,0x003B9A
0xFC,0x003546
0xFD,0x002EA5
0xFD,0x0027B8
0xFE,0x00206B
0xFE,0x00190E
0xFE,0x00116E
0xFF,0x000960
0xFF,0x0001E4
0xFF,0xFFF9C0
0x00,0xFFF1BE
0x00,0xFFEA29
0x00,0xFFE273
0x01,0xFFDB32
0x01,0xFFD3BC
0x01,0xFFCC95
0x02,0xFFC566
0x02,0xFFBEBB
0x02,0xFFB80E
0x02,0xFFB218
0x03,0xFFAC00
0x03,0xFFA66B
0x03,0xFFA09D
0x03,0xFF9BE2
0x03,0xFF96AF
0x02,0xFF9301
0x02,0xFF8E79
0x02,0xFF8B61
0x01,0xFF87BA
0x01,0xFF8515
0x00,0xFF82D5
0xFF,0xFF8129
0xFF,0xFF7F8A
0xFE,0xFF7ED3
0xFE,0xFF7ECF
0xFD,0xFF7ED5
0xFD,0xFF8028
0xFD,0xFF817B
0xFD,0xFF833F
0xFD,0xFF865C
0xFD,0xFF883A
0xFD,0xFF8D27
0xFD,0xFF9046
0xFD,0xFF9584
0xFE,0xFF9AED
0xFE,0xFFA0F7
0xFF,0xFFA77C
0xFF,0xFFAF13
0xFF,0xFFB6E7
0x00,0xFFBFCC
0x00,0xFFC8D9
0x00,0xFFD2D5
0x00,0xFFDD9C
0x00,0xFFE84D
0x00,0xFFF48F
0x00,0x000083
0x00,0x000CD9
0x00,0x001A05
0x00,0x00279E
0xFF,0x00347F
0xFF,0x004295
0xFF,0x005067
0xFF,0x005ECE
0xFF,0x006C43
0xFE,0x007A69
0xFE,0x0087A5
0xFE,0x0094D8
0xFF,0x00A21D
0xFF,0x00AE58
0xFF,0x00BB26
0xFF,0x00C6DA
0xFF,0x00D2A8
0xFF,0x00DD3F
0x00,0x00E878
0x00,0x00F21A
0x00,0x00FC3C
0x00,0x01050D
0x00,0x010D8F
0x00,0x011521
0x00,0x011C16
0x00,0x0122AE
0x00,0x012773
0xFF,0x012C60
0xFF,0x013016
0xFF,0x013343
0xFF,0x01353F
0xFE,0x013674
0xFE,0x0136DF
0xFE,0x01365E
0xFE,0x0134A2
0xFE,0x0131EE
0xFE,0x012EA8
0xFE,0x012A8C
0xFE,0x0125C7
0xFE,0x011FAF
0xFE,0x0119DB
0xFE,0x0111D1
0xFE,0x010B2F
0xFF,0x0102DE
0xFF,0x00FA72
0xFF,0x00F1EF
0xFF,0x00E8E6
0xFF,0x00DFD9
0xFF,0x00D63A
0x00,0x00CCAC
0x00,0x00C2D0
0x00,0x00B975
0xFF,0x00AF1C
0xFF,0x00A55F
0xFF,0x009B20
0xFF,0x009130
0xFF,0x008716
0xFF,0x007D40
0xFE,0x007348
0xFE,0x0068EC
0xFE,0x005FDD
0xFE,0x005584
0xFE,0x004C65
0xFF,0x004281
0xFF,0x00396E
0xFF,0x002F40
0x00,0x002718
