data1,data2
0x00,0x010E7A
0xFF,0x0102FA
0xFF,0x00F6B8
0xFE,0x00EA38
0xFD,0x00DD51
0xFD,0x00D088
0xFC,0x00C262
0xFC,0x00B454
0xFC,0x00A4E8
0xFC,0x00953C
0xFC,0x008449
0xFD,0x007296
0xFD,0x005F96
0xFE,0x004C4B
0xFE,0x0037EF
0xFF,0x002316
0xFF,0x000D86
0x00,0xFFF786
0x00,0xFFE1AE
0x00,0xFFCBBC
0x00,0xFFB59A
0x00,0xFFA01C
0x00,0xFF8B21
0x00,0xFF7713
0x00,0xFF6416
0xFF,0xFF519B
0xFF,0xFF40E7
0xFF,0xFF30ED
0xFF,0xFF222C
0xFF,0xFF1464
0xFF,0xFF07D3
0x00,0xFEFC3E
0x00,0xFEF0C6
0x01,0xFEE62E
0x02,0xFEDC3E
0x02,0xFED22D
0x03,0xFEC7F5
0x04,0xFEBDE3
0x04,0xFEB2CE
0x04,0xFEA78D
0x05,0xFE9B85
0x05,0xFE8EB0
0x05,0xFE813C
0x04,0xFE72DE
0x04,0xFE63C7
0x03,0xFE53DD
0x03,0xFE43A4
0x02,0xFE32A5
0x01,0xFE2186
0x00,0xFE1001
0xFF,0xFDFEAB
0xFE,0xFDED3E
0xFE,0xFDDC2B
0xFD,0xFDCBA2
0xFD,0xFDBB35
0xFD,0xFDAB76
0xFD,0xFD9CED
0xFE,0xFD8E99
0xFE,0xFD8123
0xFF,0xFD74F3
0xFF,0xFD6959
0x00,0xFD5E88
0x01,0xFD5537
0x02,0xFD4D25
0x02,0xFD4581
0x03,0xFD3F57
0x03,0xFD3A80
0x03,0xFD372B
0x03,0xFD34C2
0x03,0xFD3452
0x02,0xFD353B
0x02,0xFD37E0
0x01,0xFD3BC3
0x00,0xFD41BB
0xFF,0xFD48E5
0xFE,0xFD511D
0xFD,0xFD5B3B
0xFC,0xFD6618
0xFC,0xFD722A
0xFB,0xFD7EB5
0xFA,0xFD8BDA
0xFA,0xFD99A0
0xFA,0xFDA715
0xFA,0xFDB4CB
0xFA,0xFDC22E
0xFA,0xFDCF76
0xFA,0xFDDCD1
0xFA,0xFDE9B8
0xFB,0xFDF6DB
0xFB,0xFE03D6
0xFC,0xFE10FA
0xFC,0xFE1EFC
0xFD,0xFE2D2C
0xFD,0xFE3C35
0xFD,0xFE4D30
0xFE,0xFE5EB4
0xFE,0xFE7178
0xFE,0xFE864F
0xFE,0xFE9C1B
0xFE,0xFEB39B
0xFE,0xFECBA7
0xFE,0xFEE4D4
0xFE,0xFEFF4B
0xFE,0xFF1A84
0xFE,0xFF353D
0xFE,0xFF50CF
0xFE,0xFF6BE0
0xFE,0xFF868B
0xFE,0xFFA081
0xFE,0xFFB9BA
0xFE,0xFFD214
0xFE,0xFFE932
0xFE,0xFFFFC0
0xFE,0x0015B8
0xFE,0x002AF6
0xFE,0x003FB2
0xFE,0x005481
0xFE,0x006980
0xFF,0x007E65
0xFF,0x009431
0xFF,0x00AA56
0xFF,0x00C124
0xFF,0x00D878
0x00,0x00F0CA
0x00,0x010961
0x00,0x01219D
0x00,0x013A9A
0x00,0x01530B
0x00,0x016B13
0x00,0x01822C
0x00,0x019826
0x00,0x01AD11
0x00,0x01C0B1
0x00,0x01D315
0x00,0x01E408
0xFF,0x01F390
0xFF,0x020223
0xFF,0x020FB8
0x00,0x021CA9
0x00,0x022902
0x00,0x023601
0x00,0x024338
0x01,0x0250C8
0x01,0x025FC3
0x02,0x026F6E
0x03,0x028096
0x03,0x0292F4
0x04,0x02A66E
0x04,0x02BAF2
0x05,0x02D015
0x05,0x02E603
0x06,0x02FB99
0x06,0x031149
0x06,0x0325EC
0x05,0x033981
0x05,0x034B67
0x04,0x035C14
0x03,0x036A3E
0x02,0x0376BD
0x01,0x0380C5
0x00,0x03890F
0xFF,0x038F70
0xFE,0x0393F6
0xFD,0x0396E7
0xFC,0x0399BE
0xFB,0x039B57
0xFA,0x039CFB
0xF9,0x039EF1
0xF9,0x03A143
0xF9,0x03A408
0xF9,0x03A840
0xF9,0x03AD78
0xF9,0x03B358
0xF9,0x03BAD3
0xFA,0x03C2AB
0xFA,0x03CB23
0xFB,0x03D431
0xFB,0x03DD15
0xFC,0x03E572
0xFD,0x03ECEF
0xFD,0x03F350
0xFE,0x03F89F
0xFE,0x03FBB4
0xFF,0x03FCE1
0xFF,0x03FC41
0x00,0x03F914
0x00,0x03F41B
0x00,0x03ECCF
0x01,0x03E398
0x01,0x03D8C1
0x01,0x03CBFC
0x01,0x03BE6B
0x02,0x03B03A
0x02,0x03A0C9
0x02,0x039103
0x02,0x038151
0x03,0x0370E3
0x03,0x0360E9
0x03,0x03508E
0x03,0x03408A
0x02,0x033040
0x02,0x031F61
0x02,0x030EC4
0x01,0x02FD73
0x00,0x02EA8E
0x00,0x02D7BD
0xFF,0x02C3A1
0xFE,0x02AE62
0xFD,0x02980F
0xFD,0x02802F
0xFC,0x026770
0xFC,0x024D78
0xFB,0x023217
0xFB,0x0215FF
0xFB,0x01F8D9
0xFB,0x01DAEB
0xFB,0x01BC51
0xFB,0x019CF5
0xFC,0x017D84
0xFC,0x015DE0
0xFD,0x013E26
0xFD,0x011EC0
0xFE,0x00FF81
0xFE,0x00E082
0xFF,0x00C19F
0xFF,0x00A342
0xFF,0x008574
0xFF,0x00680B
0xFF,0x004B0E
0xFF,0x002EA9
0xFE,0x001255
0xFE,0xFFF661
0xFD,0xFFDAC1
0xFD,0xFFBEEB
0xFC,0xFFA394
0xFB,0xFF87E0
0xFB,0xFF6C54
0xFB,0xFF507C
0xFA,0xFF34A8
0xFA,0xFF18F7
0xFA,0xFEFC9A
0xFA,0xFEDFF7
0xFB,0xFEC2F2
0xFB,0xFEA5EB
0xFC,0xFE88AC
0xFD,0xFE6B2C
0xFE,0xFE4DA6
0xFF,0xFE3061
0x00,0xFE1394
0x01,0xFDF815
0x02,0xFDDCE3
0x02,0xFDC378
0x03,0xFDAB09
0x04,0xFD946A
0x05,0xFD7FC8
0x05,0xFD6D0D
0x06,0xFD5C6C
0x06,0xFD4E16
0x06,0xFD424C
0x06,0xFD387A
0x07,0xFD3107
0x07,0xFD2B53
0x07,0xFD2799
0x07,0xFD2575
0x06,0xFD24B4
0x06,0xFD2587
0x06,0xFD26F5
0x06,0xFD28FD
0x06,0xFD2C28
0x06,0xFD2F41
0x06,0xFD32B4
0x06,0xFD35F8
0x06,0xFD396F
0x06,0xFD3CEB
0x06,0xFD408E
0x06,0xFD43CA
0x06,0xFD46F9
0x06,0xFD4A5A
0x06,0xFD4DB3
0x06,0xFD5179
0x06,0xFD5555
0x06,0xFD58CD
0x06,0xFD5CDF
0x06,0xFD6119
0x06,0xFD64F7
0x06,0xFD6919
0x06,0xFD6CCF
0x06,0xFD704E
